,Topic,Words,Frequency,Timestamp
61,25,"villiger, bundesrat, milliarden, ausgaben, arbeitslosenversicherung",86,1994-01-06 18:00:00.000
62,26,"eu, verhandlungen, bilateralen, kinnock, schweiz",224,1994-01-06 18:00:00.000
63,27,"museum, museen, kunst, rey, ausstellung",58,1994-01-06 18:00:00.000
64,28,"tempo, 30, verkehrsberuhigungsmassnahmen, hegi, pfosten",12,1994-01-06 18:00:00.000
65,29,"veloland, route, velo, twike, velostreifen",20,1994-01-06 18:00:00.000
66,30,"telecom, ptt, internet, telekom, natel",74,1994-01-06 18:00:00.000
67,31,"sncf, streik, paris, gewerkschaften, regierung",56,1994-01-06 18:00:00.000
68,32,"hongkong, peking, chinesischen, china, chinas",44,1994-01-06 18:00:00.000
69,33,"seattle, busfahrer, bus, kopfschuss, besetzte",16,1994-01-06 18:00:00.000
70,34,"bombay, virus, who, fieber, pest",3,1994-01-06 18:00:00.000
71,35,"henggart, albispass, wangen, flurlingen, wm",12,1994-01-06 18:00:00.000
72,36,"behinderte, behinderten, rollstuhl, rollstuhlfahrer, behinderter",31,1994-01-06 18:00:00.000
73,-1,"www, expo, bahn, sbb, lastwagen",14240,1999-01-05 15:00:00.000
74,0,"liter, ps, km, bmw, vw",1888,1999-01-05 15:00:00.000
75,1,"automobilist, verletzt, fuhr, kps, lenker",2307,1999-01-05 15:00:00.000
76,2,"sbb, bahn, bls, bahnhof, linie",1925,1999-01-05 15:00:00.000
77,3,"swissair, crossair, flughafen, swiss, unique",2522,1999-01-05 15:00:00.000
78,4,"svp, sp, fdp, cvp, postulat",1001,1999-01-05 15:00:00.000
79,5,"kosovo, nato, uno, us, soldaten",644,1999-01-05 15:00:00.000
80,6,"angeklagte, urteil, gericht, angeklagten, verurteilt",531,1999-01-05 15:00:00.000
81,7,"polizei, flucht, kantonspolizei, verhaftet, mann",551,1999-01-05 15:00:00.000
82,8,"schnee, gesperrt, grad, lawinengefahr, eis",575,1999-01-05 15:00:00.000
83,9,"gemeinde, bern, kirchberg, hans, gemeinderat",659,1999-01-05 15:00:00.000
84,10,"brand, tunnel, feuerwehr, feuer, rauch",445,1999-01-05 15:00:00.000
85,11,"km, stadtpolizei, erlaubten, polizei, kantonspolizei",385,1999-01-05 15:00:00.000
86,12,"unfallstelle, starb, ums, verletzt, lenker",450,1999-01-05 15:00:00.000
87,13,"parkhaus, parkieren, parking, parkplatz, innenstadt",274,1999-01-05 15:00:00.000
88,14,"kinder, schule, eltern, schulweg, schulhaus",312,1999-01-05 15:00:00.000
89,15,"tunnel, gotthard, tunnels, basistunnel, neat",317,1999-01-05 15:00:00.000
90,16,"mio, euro, us, umsatz, mrd",242,1999-01-05 15:00:00.000
91,17,"wm, tour, rennen, olympischen, spiele",188,1999-01-05 15:00:00.000
92,18,"zahl, verletzten, todesopfer, vorjahr, kreisel",160,1999-01-05 15:00:00.000
93,19,"limmatquai, kreisel, limmatquais, a5, verkehr",181,1999-01-05 15:00:00.000
94,20,"allg, schienenverkehr, madiswil, eisenbahnverkehr, transports",119,1999-01-05 15:00:00.000
95,21,"hund, hunde, tier, tiere, rehe",151,1999-01-05 15:00:00.000
96,22,"motorradfahrer, motorrad, motorradlenker, verletzt, schwer",174,1999-01-05 15:00:00.000
97,23,"tonnen, bridge, meter, aare, balz",147,1999-01-05 15:00:00.000
98,24,"sauber, formel, schumacher, ferrari, wm",112,1999-01-05 15:00:00.000
99,25,"budget, mio, svp, ausgaben, voranschlag",143,1999-01-05 15:00:00.000
100,26,"eu, bilateralen, abkommen, kommission, beitritt",170,1999-01-05 15:00:00.000
101,27,"expo, ausstellung, besucher, www, uhr",132,1999-01-05 15:00:00.000
102,28,"tempo, zonen, 30, innerorts, initiative",114,1999-01-05 15:00:00.000
103,29,"velo, www, ig, veloland, velos",57,1999-01-05 15:00:00.000
104,30,"internet, handy, www, mail, sms",116,1999-01-05 15:00:00.000
105,31,"streik, streiks, gewerkschaften, eisenbahner, regierung",153,1999-01-05 15:00:00.000
106,32,"peking, china, taiwan, chinas, hongkong",58,1999-01-05 15:00:00.000
107,33,"ums, dpa, bus, busunfall, tote",76,1999-01-05 15:00:00.000
108,34,"antibiotika, sars, han, who, erreger",11,1999-01-05 15:00:00.000
109,35,"bauarbeiten, gesperrt, montag, umleitung, willisau",58,1999-01-05 15:00:00.000
110,36,"behinderte, behinderten, rollstuhl, behinderter, sehbehinderte",85,1999-01-05 15:00:00.000
111,-1,"www, ch, bahn, verkehr, sbb",14605,2004-01-04 12:00:00.000
112,0,"co2, liter, km, ps, www",2414,2004-01-04 12:00:00.000
113,1,"verletzt, lenker, fuhr, spital, kantonspolizei",2391,2004-01-04 12:00:00.000
114,2,"sbb, bahn, cargo, bahnhof, fahrplan",2175,2004-01-04 12:00:00.000
115,3,"swiss, lufthansa, flughafen, airlines, flugzeuge",1599,2004-01-04 12:00:00.000
116,4,"svp, sp, fdp, cvp, rat",946,2004-01-04 12:00:00.000
117,5,"bagdad, soldaten, us, irak, uno",626,2004-01-04 12:00:00.000
118,6,"angeklagte, gericht, urteil, angeklagten, obergericht",673,2004-01-04 12:00:00.000
119,7,"polizei, kantonspolizei, verhaftet, polizisten, mann",729,2004-01-04 12:00:00.000
120,8,"schnee, winter, zentimeter, schneefall, strassen",608,2004-01-04 12:00:00.000
121,9,"www, ch, gemeinde, bild, sagt",583,2004-01-04 12:00:00.000
122,10,"brand, feuerwehr, feuer, flammen, tunnel",447,2004-01-04 12:00:00.000
123,11,"km, polizei, verzeigt, erlaubten, kantonspolizei",518,2004-01-04 12:00:00.000
124,12,"unfallstelle, starb, verletzungen, ums, lenker",325,2004-01-04 12:00:00.000
125,13,"parkhaus, parkieren, parkplatz, parking, vcs",356,2004-01-04 12:00:00.000
126,14,"kinder, eltern, schule, schulweg, kindern",357,2004-01-04 12:00:00.000
127,15,"tunnel, basistunnel, neat, gotthard, wisenbergtunnel",263,2004-01-04 12:00:00.000
128,16,"mio, us, umsatz, mrd, aktien",181,2004-01-04 12:00:00.000
129,17,"wm, rennen, cup, tour, team",226,2004-01-04 12:00:00.000
130,18,"zahl, bfu, verletzten, verkehrstoten, prozent",217,2004-01-04 12:00:00.000
131,19,"verkehrsplan, begegnungszone, kreisel, verkehr, gemeinderat",208,2004-01-04 12:00:00.000
132,20,"00, 08, 09, index, long",2,2004-01-04 12:00:00.000
133,21,"hund, hunde, tier, tiere, hunden",160,2004-01-04 12:00:00.000
134,22,"motorradfahrer, motorrad, motorradlenker, verletzt, kollision",198,2004-01-04 12:00:00.000
135,23,"tonnen, bipperlisi, bauwerk, meter, viadukt",153,2004-01-04 12:00:00.000
136,24,"formel, ferrari, massa, wm, schumacher",120,2004-01-04 12:00:00.000
137,25,"merz, ausgaben, budget, milliarden, schuldenbremse",135,2004-01-04 12:00:00.000
138,26,"eu, schengen, abkommen, dublin, bilateralen",56,2004-01-04 12:00:00.000
139,27,"stones, www, konzert, openair, museum",114,2004-01-04 12:00:00.000
140,28,"tempo, 30, zonen, zone, verkehrsberuhigung",125,2004-01-04 12:00:00.000
141,29,"velo, www, ig, velos, veloverkehr",91,2004-01-04 12:00:00.000
142,30,"google, ch, internet, www, handy",52,2004-01-04 12:00:00.000
143,31,"sarkozy, streik, streiks, gewerkschaften, ausstand",124,2004-01-04 12:00:00.000
144,32,"china, peking, chinesischen, chinas, chinesen",115,2004-01-04 12:00:00.000
145,33,"busunfall, dpa, tote, ums, bus",92,2004-01-04 12:00:00.000
146,34,"grippe, vogelgrippe, virus, erreger, 1918",24,2004-01-04 12:00:00.000
147,35,"aarestrasse, gesperrt, bauarbeiten, umgeleitet, belagsarbeiten",112,2004-01-04 12:00:00.000
148,36,"behinderte, rollstuhl, behinderten, rollstuhlfahrer, blinde",64,2004-01-04 12:00:00.000
149,-1,"www, ch, sagt, stadt, tram",12044,2009-01-02 09:00:00.000
150,0,"liter, ps, km, co2, hybrid",2221,2009-01-02 09:00:00.000
151,1,"verletzt, spital, pd, unfall, kantonspolizei",2134,2009-01-02 09:00:00.000
152,2,"sbb, bahn, bahnhof, bls, cargo",1938,2009-01-02 09:00:00.000
153,3,"flughafen, airlines, flugzeuge, swiss, lufthansa",1001,2009-01-02 09:00:00.000
154,4,"svp, sp, fdp, gemeinderat, partei",691,2009-01-02 09:00:00.000
155,5,"russland, uno, us, rebellen, brasilien",483,2009-01-02 09:00:00.000
156,6,"gericht, urteil, freiheitsstrafe, angeklagte, verurteilt",520,2009-01-02 09:00:00.000
157,7,"polizei, mann, polizisten, flucht, kantonspolizei",544,2009-01-02 09:00:00.000
158,8,"schnee, winter, salz, strassen, eis",422,2009-01-02 09:00:00.000
159,9,"www, ch, gemeinde, sagt, kreisel",380,2009-01-02 09:00:00.000
160,10,"brand, feuerwehr, feuer, brannte, flammen",371,2009-01-02 09:00:00.000
161,11,"km, polizei, kantonspolizei, polizisten, stundenkilometern",322,2009-01-02 09:00:00.000
162,12,"unfall, unfallstelle, verletzungen, stirbt, verstarb",253,2009-01-02 09:00:00.000
163,13,"parkhaus, parkieren, parking, schlossberg, parkplatz",310,2009-01-02 09:00:00.000
164,14,"kinder, eltern, schulweg, schule, schulhaus",333,2009-01-02 09:00:00.000
165,15,"gotthard, tunnel, basistunnel, neat, tunnels",255,2009-01-02 09:00:00.000
166,16,"index, aktien, swiss, mio, anleger",130,2009-01-02 09:00:00.000
167,17,"tour, winterspiele, athleten, triathlon, rennen",159,2009-01-02 09:00:00.000
168,18,"velofahrer, zahl, schwerverletzten, bfu, velofahrern",183,2009-01-02 09:00:00.000
169,19,"verkehr, kreisel, ortsdurchfahrt, massnahmen, wessels",202,2009-01-02 09:00:00.000
170,20,"neuenegg, meiringen, blaser, kandern, matten",2,2009-01-02 09:00:00.000
171,21,"hund, tiere, hunde, tier, hunden",137,2009-01-02 09:00:00.000
172,22,"motorradfahrer, motorrad, motorradlenker, verletzt, kollision",139,2009-01-02 09:00:00.000
173,23,"viadukt, sanierung, ringgenberg, saniert, arbeiten",152,2009-01-02 09:00:00.000
174,24,"formel, sauber, wm, bull, button",97,2009-01-02 09:00:00.000
175,25,"budget, franken, millionen, milliarden, defizit",75,2009-01-02 09:00:00.000
176,26,"ewr, eu, abkommen, haiti, schengen",31,2009-01-02 09:00:00.000
177,27,"museum, www, ok, uhr, ch",102,2009-01-02 09:00:00.000
178,28,"tempo, 30, zonen, zone, 30er",95,2009-01-02 09:00:00.000
179,29,"velo, velos, velofahrer, leupi, velostadt",99,2009-01-02 09:00:00.000
180,30,"facebook, google, internet, karten, daten",72,2009-01-02 09:00:00.000
181,31,"sarkozy, streiks, streik, sncf, gewerkschaften",73,2009-01-02 09:00:00.000
182,32,"peking, china, chinas, chinesischen, schanghai",76,2009-01-02 09:00:00.000
183,33,"busunfall, ums, bus, tote, ddp",57,2009-01-02 09:00:00.000
184,34,"schweinegrippe, hiv, grippe, impfstoff, karen",15,2009-01-02 09:00:00.000
185,35,"gesperrt, pd, umgeleitet, baustelle, bauarbeiten",95,2009-01-02 09:00:00.000
186,36,"rollstuhl, rollstuhlfahrer, behinderte, fabian, behinderten",52,2009-01-02 09:00:00.000
187,-1,"postauto, ch, stadt, basel, sagt",10809,2014-01-01 06:00:00.000
188,0,"vw, co2, suv, ps, km",2261,2014-01-01 06:00:00.000
189,1,"verletzt, unfall, spital, pd, kantonspolizei",1296,2014-01-01 06:00:00.000
190,2,"sbb, bahn, bls, bahnhof, fernverkehr",1368,2014-01-01 06:00:00.000
191,3,"flughafen, air, flugzeug, airlines, lufthansa",895,2014-01-01 06:00:00.000
192,4,"svp, fdp, sp, leutenegger, partei",688,2014-01-01 06:00:00.000
193,5,"is, anschlag, al, hauptstadt, syrien",469,2014-01-01 06:00:00.000
194,6,"gericht, beschuldigte, staatsanwaltschaft, regionalgericht, freiheitsstrafe",464,2014-01-01 06:00:00.000
195,7,"polizei, mth, sch, mann, hoh",322,2014-01-01 06:00:00.000
196,8,"schnee, sturm, grad, temperaturen, sole",266,2014-01-01 06:00:00.000
197,9,"www, stadt, post, wipkingen, leutenegger",153,2014-01-01 06:00:00.000
198,10,"feuer, brand, feuerwehr, flammen, brannte",263,2014-01-01 06:00:00.000
199,11,"polizei, kantonspolizei, km, polizisten, knuchel",211,2014-01-01 06:00:00.000
200,12,"unfall, stirbt, sda, verstarb, verletzt",221,2014-01-01 06:00:00.000
201,13,"parkieren, parkplatz, westside, ride, parking",285,2014-01-01 06:00:00.000
202,14,"eltern, kinder, schulweg, schule, gymnasien",175,2014-01-01 06:00:00.000
203,15,"gotthard, basistunnel, tunnel, strassentunnel, basistunnels",303,2014-01-01 06:00:00.000
204,16,"snb, skills, sda, banken, bank",128,2014-01-01 06:00:00.000
205,17,"tour, wm, rennen, de, rio",143,2014-01-01 06:00:00.000
206,18,"velofahrer, zahl, web, bikes, schwerverletzten",160,2014-01-01 06:00:00.000
207,19,"guisanplatz, wankdorfplatz, kreisel, innenstadt, central",134,2014-01-01 06:00:00.000
208,20,"abgrenzung, schulhausstrasse, juraweg, schulstrasse, heimenhausen",1,2014-01-01 06:00:00.000
209,21,"tiere, hund, tier, hunde, bienen",132,2014-01-01 06:00:00.000
210,22,"motorradfahrer, motorrad, motorradlenker, verletzt, spital",104,2014-01-01 06:00:00.000
211,23,"aare, breitenrain, bauwerk, ersetzt, sanierung",106,2014-01-01 06:00:00.000
212,24,"formel, hamilton, ferrari, sauber, rennen",89,2014-01-01 06:00:00.000
213,25,"pegoraro, budget, millionen, franken, ausgaben",75,2014-01-01 06:00:00.000
214,26,"eu, abkommen, cassis, bilateralen, schweiz",21,2014-01-01 06:00:00.000
215,27,"00, museum, www, expo, schokolade",73,2014-01-01 06:00:00.000
216,28,"tempo, 30, zonen, zone, acs",74,2014-01-01 06:00:00.000
217,29,"velo, velos, velofahrer, bikes, veloverkehr",143,2014-01-01 06:00:00.000
218,30,"google, digitalisierung, daten, data, digitale",110,2014-01-01 06:00:00.000
219,31,"macron, sncf, streik, gewerkschaften, streiks",43,2014-01-01 06:00:00.000
220,32,"china, peking, chinesischen, chinas, chinesische",85,2014-01-01 06:00:00.000
