,Topic ID,time span,keywords
10,1,2,"[(0.02378678611574241, 'Swissair'), (0.012209703013238917, 'Unternehmen'), (0.012000915852901905, 'Swiss'), (0.007999899464000088, 'Fluggesellschaft'), (0.007288436479588555, 'Firma'), (0.007136395171470423, 'Zürich'), (0.006725874412259741, 'Crossair'), (0.006364362360127167, 'Gesellschaft'), (0.006152161334074721, 'Markt'), (0.005184844159012061, 'Schweizer'), (0.005080836634333751, 'Schienenverkehr'), (0.004882027248955239, 'Air'), (0.00429644116232767, 'Luftverkehr'), (0.004171202542566743, 'Genf'), (0.003987617956141353, 'Flughafen'), (0.0039369573954101894, 'Verwaltungsrat'), (0.003847721633155577, 'Bank'), (0.003790895946416291, 'Partner'), (0.003698662031238417, 'übernehmen'), (0.0036985818344379222, 'Basel')]"
11,1,3,"[(0.014477163270916329, 'Swiss'), (0.01445115861003495, 'Unternehmen'), (0.013588832788282849, 'Swissair'), (0.009438525485610456, 'Firma'), (0.006694649455208398, 'Fluggesellschaft'), (0.0064761531595453285, 'Zürich'), (0.006010863408249677, 'Markt'), (0.005981292730112606, 'Crossair'), (0.005801243076235407, 'Schweizer'), (0.004889066829157016, 'Gesellschaft'), (0.004164496305195125, 'Mitarbeiter'), (0.004121351318075423, 'Bank'), (0.004118558451343641, 'Verwaltungsrat'), (0.004004782516476747, 'Lufthansa'), (0.003943670275047504, 'Air'), (0.003934925098831953, 'übernehmen'), (0.0037513641106999692, 'Basel'), (0.003662010808780719, 'Partner'), (0.0035684687677969636, 'gut'), (0.0034979062555401032, 'eigen')]"
12,1,4,"[(0.01801126340725433, 'Unternehmen'), (0.01646118522465473, 'Swiss'), (0.012719994215038073, 'Firma'), (0.006460974304360488, 'Schweizer'), (0.006114201339200066, 'Markt'), (0.005719789102167806, 'Swissair'), (0.0053847322161122745, 'Mitarbeiter'), (0.005300139415030125, 'Lufthansa'), (0.0051868155868020765, 'Zürich'), (0.004885988540548376, 'Fluggesellschaft'), (0.004604696737074214, 'Bank'), (0.0041277170727666915, 'übernehmen'), (0.003972966176751526, 'Verwaltungsrat'), (0.003813074333286353, 'eigen'), (0.0037537802253575334, 'Kunde'), (0.003690631407040532, 'gut'), (0.003486692867045929, 'Partner'), (0.0034808371657417967, 'Gesellschaft'), (0.003297232703371767, 'Arbeitsplatz'), (0.0030274253933127663, 'Fusion')]"
13,1,5,"[(0.022449171741295782, 'Unternehmen'), (0.016789590592259502, 'Swiss'), (0.01669230234142858, 'Firma'), (0.0070569663984923325, 'Schweizer'), (0.0068666429577100285, 'Mitarbeiter'), (0.006159566171617904, 'Markt'), (0.004978949214557456, 'Bank'), (0.004930725532443753, 'Kunde'), (0.004227099153261736, 'übernehmen'), (0.004078083122338858, 'eigen'), (0.004032328838180501, 'Lufthansa'), (0.003891613731168396, 'Zürich'), (0.0037639572031352357, 'Geschäft'), (0.003736502521240141, 'gut'), (0.003623969071684126, 'Verwaltungsrat'), (0.0035347331869494203, 'Konzern'), (0.003518610695265064, 'Standort'), (0.003384681563745482, 'Fluggesellschaft'), (0.0032929698980199954, 'Partner'), (0.0032409992834824676, 'Bereich')]"
14,1,6,"[(0.026738064579328227, 'Unternehmen'), (0.02036491091048819, 'Firma'), (0.01649757749967884, 'Swiss'), (0.007582496978381005, 'Mitarbeiter'), (0.007503695381996919, 'Schweizer'), (0.006091067517711735, 'Markt'), (0.005875639824596799, 'Kunde'), (0.004671071963688248, 'Bank'), (0.004469528455687799, 'Konzern'), (0.004380900646172222, 'Geschäft'), (0.004261108374887365, 'übernehmen'), (0.0042256124309865495, 'eigen'), (0.004021778222639933, 'Standort'), (0.0037288440026741654, 'gut'), (0.0037244462225936056, 'Branche'), (0.0036089212486244823, 'Bereich'), (0.0035780170479483855, 'Investor'), (0.0035637059602787115, 'Chef'), (0.0034657199900259773, 'CEO'), (0.003424481689933394, 'gross')]"
15,1,7,"[(0.02945125940307214, 'Unternehmen'), (0.022626889321458198, 'Firma'), (0.01631799708854319, 'Swiss'), (0.007738388076571625, 'Schweizer'), (0.0073460532316539165, 'Mitarbeiter'), (0.006242494969784448, 'Kunde'), (0.005961187918876963, 'Markt'), (0.005132170866337323, 'Konzern'), (0.004733044741637545, 'Geschäft'), (0.004321165386948424, 'Bank'), (0.004296124137855295, 'eigen'), (0.004269017622743371, 'übernehmen'), (0.004186618300426756, 'Branche'), (0.004183839051358914, 'Standort'), (0.004060569745002371, 'CEO'), (0.003977547657557565, 'Investor'), (0.003890129996952539, 'Chef'), (0.0038209833686058156, 'Bereich'), (0.00374295305183995, 'arbeiten'), (0.003726788755707758, 'Geld')]"
16,2,0,"[(0.010690566161418688, 'Frau'), (0.00814389688243841, 'Leute'), (0.006847490800475052, 'Mensch'), (0.006687682582863416, 'Zeit'), (0.006214933084258109, 'Mann'), (0.0057416145754670194, 'tun'), (0.005661316315137097, 'Kind'), (0.005227061166318821, 'gut'), (0.0048512739163529515, 'finden'), (0.004662238398182625, 'Herr'), (0.004455259423573607, 'nehmen'), (0.004362760028243432, 'jung'), (0.0042542831704036254, 'lassen'), (0.004104013532981875, 'Problem'), (0.004039636311364635, 'denken'), (0.003982634606864076, 'Arbeit'), (0.0039127651427067174, 'alt'), (0.003771725089743569, 'arbeiten'), (0.0036633101756010948, 'Tag'), (0.0036350482312494338, 'Leben')]"
17,2,1,"[(0.010718523996778058, 'Frau'), (0.008260022040544835, 'Leute'), (0.0070037621876312545, 'Mensch'), (0.006705990004353109, 'Zeit'), (0.006221592073443515, 'Mann'), (0.005770246737219171, 'tun'), (0.005750570057020044, 'Kind'), (0.005251571146037788, 'gut'), (0.004878073828663255, 'finden'), (0.004599842453944047, 'Herr'), (0.004467229961058021, 'nehmen'), (0.004374091943856921, 'jung'), (0.0042519472822593, 'lassen'), (0.004113698908998075, 'Problem'), (0.0040650368245257265, 'denken'), (0.003983180279430282, 'Arbeit'), (0.003937975360623241, 'alt'), (0.0038444439682469413, 'arbeiten'), (0.0037219204882031004, 'Tag'), (0.003716410744801038, 'Leben')]"
18,2,2,"[(0.010732965220864582, 'Frau'), (0.008464577192847246, 'Leute'), (0.00731310611198738, 'Mensch'), (0.006720500564956647, 'Zeit'), (0.006216455873634348, 'Mann'), (0.005912192563309181, 'Kind'), (0.005810936168380562, 'tun'), (0.005284040333896369, 'gut'), (0.004917651137634119, 'finden'), (0.004476022040208453, 'nehmen'), (0.004458046040083771, 'Herr'), (0.004382342452077319, 'jung'), (0.0042327665621134675, 'lassen'), (0.004120755437056104, 'Problem'), (0.00410628460988761, 'denken'), (0.003991344075017257, 'arbeiten'), (0.003975838736566849, 'alt'), (0.003965616646246097, 'Arbeit'), (0.0038806431193033125, 'Leben'), (0.003846574819804971, 'Tag')]"
19,2,3,"[(0.010708781804228632, 'Frau'), (0.008697353137555543, 'Leute'), (0.00781789102556897, 'Mensch'), (0.006722920376391431, 'Zeit'), (0.006194911899645103, 'Mann'), (0.006126621223669944, 'Kind'), (0.005858464744617672, 'tun'), (0.005320099950342617, 'gut'), (0.004961872942253669, 'finden'), (0.004474065333217677, 'nehmen'), (0.004384996594897495, 'jung'), (0.004231836064801249, 'Herr'), (0.004217737025219027, 'arbeiten'), (0.00419424119068783, 'lassen'), (0.004160462492834218, 'denken'), (0.004138619695756882, 'Leben'), (0.004115335164926851, 'Problem'), (0.004037247812176231, 'Tag'), (0.00402826617917477, 'alt'), (0.0039026035757962433, 'Arbeit')]"
